sec,t_sec,frame_idx,p_model1,p_model2,p_model3,p_final
1,1.0146108374384237,30,0.24974747002124786,0.3735284209251404,,0.3116379380226135
2,2.0292216748768475,60,0.2794698476791382,0.3807571530342102,,0.3301135003566742
3,3.0438325123152707,90,0.3945426046848297,0.38927632570266724,,0.39190948009490967
4,4.058443349753695,120,0.16837851703166962,0.4573410153388977,,0.31285977363586426
5,5.073054187192118,150,0.08053729683160782,0.5032355189323425,,0.29188641905784607
6,6.0876650246305415,180,0.10592830181121826,0.4940996468067169,,0.3000139594078064
